date,customer_id,payment_method,delivery_status,duration,no_of_orders,amount
04/29/2022,229a048f,Cash,Pickup,,1,1000
04/29/2022,89e55715,Transfer,Pickup,,0,1900
04/30/2022,9ddc8a27,Cash,Delivered,337,2,4700
04/30/2022,1c3d0e30,Transfer,Delivered,14,0,5300
04/30/2022,552b5877,Cash,Delivered,297,2,6200
04/30/2022,ae4fdc5f,Transfer,Delivered,68,0,5300
04/30/2022,4fed0138,Transfer,Delivered,165,2,30900
04/30/2022,6d525813,Cash,Delivered,149,0,5400
04/30/2022,8c7e686b,Cash,Delivered,48,0,4900
04/30/2022,3a09ba35,Cash,Delivered,91,0,2600
04/30/2022,5afd80ac,Cash,Delivered,108,1,3700
04/30/2022,0ed6d986,Cash,Delivered,162,0,2700
04/30/2022,df2036fc,Cash,Delivered,122,0,7600
04/30/2022,3b8e9f32,Transfer,Delivered,183,0,19000
04/30/2022,62043021,Cash,Pickup,,1,7600
04/30/2022,7e9735e8,Transfer,Pickup,,0,8300
04/30/2022,ac8a3cf4,Cash,Pickup,,1,5000
04/30/2022,6c717bd1,Cash,Pickup,,2,2000
04/30/2022,de9aa76e,Cash,Pickup,,0,2450
04/30/2022,034a768e,Transfer,Pickup,,0,1900
04/30/2022,3dddc0ac,Cash,Pickup,,0,5400
04/30/2022,9fa8d073,Cash,Delivered,86,0,3700
04/30/2022,09464e94,Cash,Delivered,86,0,5400
04/30/2022,f606a0fd,Cash,Delivered,72,1,2000
04/30/2022,2481c06b,Cash,Delivered,89,0,4800
04/30/2022,eb680836,Cash,Pickup,,0,1900
04/30/2022,313c4ecb,Cash,Delivered,167,0,3800
04/30/2022,990359e9,Transfer,Delivered,245,1,5000
04/30/2022,9a65691b,Cash,Delivered,150,0,3700
04/30/2022,ed17e67d,Cash,Pickup,,1,8350
04/30/2022,01831381,Cash,Pickup,,0,1700
04/30/2022,f15c9a76,Cash,Pickup,,0,2600
04/30/2022,1de91faa,Cash,Delivered,236,0,1900
04/30/2022,06400312,Cash,Pickup,,2,2000
04/30/2022,4b9359a2,Cash,Delivered,62,0,2600
04/30/2022,5dc7746b,Cash,Delivered,62,1,1000
04/30/2022,01b01956,Cash,Delivered,61,1,1000
04/30/2022,b973578b,Cash,Delivered,61,0,1900
04/30/2022,11dad0d3,Cash,Delivered,46,2,6000
04/30/2022,306ae73a,Cash,Delivered,227,0,10800
04/30/2022,aedc84d3,Cash,Pickup,,0,4800
04/30/2022,5e91d9c9,Cash,Delivered,150,2,3000
04/30/2022,b6c24c7d,Cash,Delivered,99,0,5200
04/30/2022,664ec31b,Cash,Delivered,71,0,2600
04/30/2022,e6784189,Transfer,Delivered,81,0,2600
04/30/2022,3df12abf,Cash,Pickup,,1,7200
04/30/2022,67198276,Cash,Delivered,41,0,2600
04/30/2022,b312a03c,Transfer,Delivered,162,0,2600
04/30/2022,650c2931,Transfer,Delivered,117,2,7900
04/30/2022,c23e50e9,Cash,Delivered,93,0,7800
04/30/2022,110a5dfe,Transfer,Pickup,,0,2600
04/30/2022,7bdedfe4,Cash,Pickup,,0,1900
04/30/2022,e9a7e7bb,Cash,Pickup,,1,1000
04/30/2022,d92a8686,Transfer,Pickup,,0,2700
04/30/2022,7af5de48,Cash,Delivered,99,0,3800
04/30/2022,08c1c356,Cash,Delivered,83,0,5150
04/30/2022,c7dc63ee,Cash,Delivered,71,0,3800
04/30/2022,cb35157b,Cash,Delivered,66,0,2600
04/30/2022,57dc87c9,Transfer,Pickup,,0,3800
04/30/2022,27ea8fe2,Cash,Pickup,,0,2200
04/30/2022,da6ab80e,Transfer,Delivered,71,1,5700
04/30/2022,cb2442ff,Cash,Pickup,,0,2900
04/30/2022,893464e8,Cash,Pickup,,0,1900
04/30/2022,ba74c25f,Cash,Pickup,,0,2900
05/02/2022,e2a9ba48,Cash,Delivered,101,0,1900
05/02/2022,3dff4ce0,Cash,Delivered,160,0,1900
05/02/2022,184e9566,Transfer,Delivered,266,2,13600
05/02/2022,26b5553c,Cash,Pickup,,0,3800
05/02/2022,1ee4157b,Cash,Pickup,,0,3900
05/02/2022,449b76b6,Cash,Pickup,,0,4500
05/02/2022,d3ae70b3,Cash,Delivered,101,0,2900
05/02/2022,783c136d,Cash,Pickup,,0,1900
05/02/2022,2830f055,Cash,Pickup,,0,3800
05/02/2022,600e2496,Cash,Pickup,,1,2000
05/02/2022,e6f43475,Transfer,Delivered,191,0,4900
05/02/2022,09fafe0b,Cash,Delivered,226,1,4300
05/02/2022,f689280b,Transfer,Delivered,545,0,4900
05/02/2022,22960988,Transfer,Delivered,112,2,5600
05/02/2022,363d4686,Transfer,Delivered,123,0,4800
05/02/2022,f345c0a6,Transfer,Delivered,158,1,1000
05/02/2022,401b1789,Cash,Pickup,,1,3100
05/02/2022,becd62c3,Transfer,Delivered,117,1,3600
05/02/2022,c01c0512,Transfer,Delivered,135,2,2000
05/02/2022,149b34f4,Cash,Pickup,,0,4300
05/02/2022,471eefac,Cash,Pickup,,0,4700
05/02/2022,ef37442a,Transfer,Pickup,,1,1000
05/02/2022,cb892634,Transfer,Delivered,158,2,3100
05/02/2022,8d6af86b,Transfer,Delivered,69,1,1000
05/02/2022,8fada07f,Cash,Pickup,,2,5600
05/02/2022,2079f53d,Cash,Delivered,53,2,2000
05/02/2022,3170a960,Transfer,Delivered,128,0,4000
05/02/2022,9849103f,Cash,Pickup,,2,3100
05/02/2022,e55c5140,Cash,Delivered,,1,2000
05/02/2022,00d85de5,Cash,Delivered,55,0,2700
05/02/2022,a3bc5827,Cash,Delivered,102,0,6600
05/02/2022,47419d8d,Cash,Pickup,,1,1000
05/02/2022,8e9e6954,Cash,Pickup,,0,2700
05/02/2022,97bc8243,Cash,Pickup,,0,2700
05/02/2022,6dfdd5c1,Cash,Pickup,,0,7100
05/03/2022,5e3ea2c3,Cash,Delivered,198,0,19000
05/03/2022,8a302866,Transfer,Delivered,272,0,8100
05/03/2022,d0650fcb,Transfer,Delivered,33,0,3550
05/03/2022,ce1a4040,Cash,Delivered,154,0,4900
05/03/2022,95b1d755,Cash,Delivered,246,0,2700
05/03/2022,390bcf2a,Transfer,Delivered,288,0,2700
05/03/2022,f307f8c8,Transfer,Delivered,112,0,4700
05/03/2022,ad996105,Transfer,Delivered,177,1,14900
05/03/2022,e3f48c43,Transfer,Delivered,72,0,5200
05/03/2022,e5ab5702,Cash,Delivered,299,0,2450
05/03/2022,dffc227e,Transfer,Delivered,172,2,3000
05/03/2022,367a6d3d,Transfer,Delivered,180,0,1900
05/03/2022,080fa11f,Cash,Delivered,276,0,2700
05/03/2022,2f98bc57,Cash,Delivered,225,1,3700
05/03/2022,00bc1fa7,Cash,Delivered,287,0,1900
05/03/2022,78b054b8,Cash,Delivered,293,0,3700
05/03/2022,74dd87c2,Cash,Pickup,,0,2600
05/03/2022,808ed515,Cash,Pickup,,0,17700
05/03/2022,cad3fea9,Transfer,Delivered,297,2,2000
05/03/2022,17a7a5f3,Cash,Delivered,297,0,2450
05/03/2022,e7b859ec,Cash,Delivered,224,0,3800
05/03/2022,56acba6d,Cash,Pickup,,0,2700
05/03/2022,610c25b2,Transfer,Pickup,,0,2600
05/03/2022,c177fb4d,Transfer,Delivered,74,0,5400
05/03/2022,6a25fcff,Cash,Pickup,,0,3800
05/03/2022,5d7dc0d6,Cash,Delivered,197,1,1000
05/03/2022,57633dfa,Transfer,Delivered,85,1,2000
05/03/2022,03a2fdb0,Transfer,Delivered,82,1,2100
05/03/2022,3a345613,Transfer,Delivered,130,0,2600
05/03/2022,05d800e6,Cash,Pickup,,2,4000
05/03/2022,dea93225,Cash,Pickup,,2,3000
05/03/2022,eb82f2cd,Transfer,Pickup,,0,3200
05/03/2022,19778fbd,Cash,Delivered,44,0,1900
05/03/2022,8ad36f3d,Cash,Pickup,,0,1100
05/03/2022,a4cd394e,Cash,Pickup,,2,3000
05/03/2022,c2cae0ac,Transfer,Delivered,51,0,2600
05/03/2022,cedc6d5a,Cash,Delivered,100,0,5100
05/03/2022,185b8531,Cash,Pickup,,2,2000
05/03/2022,8730f4c0,Transfer,Delivered,52,0,3450
05/03/2022,22ba3ac4,Cash,Delivered,21,0,2600
05/03/2022,3bc0b035,Cash,Pickup,,1,2100
05/03/2022,161d7a48,Transfer,Pickup,,1,1000
05/03/2022,cc929b3a,Cash,Pickup,,0,6600
05/03/2022,8ae625d8,Cash,Pickup,,1,1000
05/04/2022,41038bf0,Cash,Pickup,,0,2600
05/04/2022,6fd50ba8,Cash,Delivered,28,0,2700
05/04/2022,fc6035bd,Transfer,Delivered,32,0,4650
05/04/2022,a2ba456d,Cash,Pickup,,0,3900
05/04/2022,d5002aef,Cash,Delivered,25,0,2700
05/04/2022,1239d411,Transfer,Delivered,31,0,29950
05/04/2022,9185ecce,Cash,Delivered,164,1,3450
05/04/2022,4f131e7e,Cash,Pickup,,0,1700
05/04/2022,17a44280,Cash,Delivered,88,0,2700
05/04/2022,ba0f35d1,Cash,Pickup,,0,7350
05/04/2022,b70964be,Cash,Pickup,,1,1000
05/04/2022,cf94069e,Transfer,Delivered,45,1,2000
05/04/2022,e614b8bc,Cash,Delivered,61,0,1100
05/04/2022,a118d31f,Cash,Pickup,,0,1100
05/04/2022,f50428d7,Cash,Delivered,145,2,2000
05/04/2022,299aa59f,Cash,Pickup,,1,3300
05/04/2022,6b92562b,Cash,Cancelled,,0,2700
05/04/2022,8af594dc,Transfer,Delivered,202,0,2600
05/04/2022,34cf29c3,Cash,Delivered,161,0,2700
05/04/2022,40f20502,Cash,Pickup,,0,4200
05/04/2022,71908dee,Cash,Delivered,98,0,2600
05/04/2022,32234568,Cash,Pickup,,1,1000
05/04/2022,cb71499c,Cash,Pickup,,1,8800
05/04/2022,20a73170,Cash,Pickup,,0,2700
05/04/2022,bd304f47,Cash,Pickup,,0,3900
05/04/2022,1bacb717,Transfer,Delivered,76,0,4900
05/04/2022,49a2f6b4,Cash,Delivered,115,0,2700
05/04/2022,20a1699c,Cash,Pickup,,0,2600
05/05/2022,9c90ec33,Cash,Cancelled,,0,8600
05/05/2022,66447e89,Cash,Delivered,44,0,3800
05/05/2022,a8f8d9fd,Transfer,Delivered,13,0,9100
05/05/2022,c6dfe136,Cash,Pickup,,0,2700
05/05/2022,e2a90b94,Cash,Pickup,,0,1000
05/05/2022,3fce39b4,Cash,Delivered,39,1,4700
05/05/2022,0e079324,Cash,Delivered,61,0,3700
05/05/2022,7d7f0f0d,Cash,Pickup,,0,1900
05/05/2022,f499b084,Cash,Delivered,328,0,5800
05/05/2022,4a9868ce,Cash,Pickup,,0,2600
05/05/2022,bf92848f,Cash,Delivered,33,0,2700
05/05/2022,78e78f50,Cash,Delivered,33,0,8000
05/05/2022,37ad4c95,Cash,Delivered,120,0,2600
05/05/2022,61c8d769,Cash,Pickup,,0,1000
05/05/2022,2317b0b4,Cash,Pickup,,1,2100
05/05/2022,73c892c3,Cash,Pickup,,1,1000
05/05/2022,2374e532,Transfer,Delivered,44,0,2450
05/05/2022,dabd9470,Cash,Delivered,99,1,8850
05/05/2022,874aa504,Cash,Pickup,,0,1100
05/05/2022,38bfe07c,Transfer,Delivered,20,0,3800
05/05/2022,77b547fa,Cash,Delivered,50,0,2700
05/05/2022,976479fc,Cash,Pickup,,0,2600
05/05/2022,455078a3,Transfer,Pickup,,1,1000
05/05/2022,4bd16498,Transfer,Pickup,,0,2450
05/05/2022,9a164fa4,Cash,Pickup,,0,1900
05/06/2022,fbcb47be,Transfer,Delivered,215,2,43300
05/06/2022,49ced680,Cash,Delivered,231,0,5300
05/06/2022,681052d5,Cash,Delivered,228,0,2450
05/06/2022,ebc63786,Cash,Delivered,79,0,8000
05/06/2022,1f6a4910,Cash,Delivered,132,0,1900
05/06/2022,67201c5a,Transfer,Delivered,63,0,4350
05/06/2022,f01bd5b8,Transfer,Delivered,194,0,9800
05/06/2022,fb83022b,Transfer,Pickup,,1,18700
05/06/2022,60eb8fbf,Cash,Delivered,34,0,2700
05/06/2022,ea3e852f,Transfer,Delivered,59,0,5200
05/06/2022,e2514f76,Transfer,Delivered,7,0,2700
05/06/2022,d4bbea1f,Transfer,Delivered,133,1,5400
05/06/2022,d970baab,Transfer,Pickup,,0,2700
05/06/2022,cc38660d,Transfer,Pickup,,0,2800
05/06/2022,5bd62a67,Cash,Delivered,37,0,6000
05/06/2022,50bceae1,Transfer,Delivered,63,0,2600
05/06/2022,0a994fa0,Cash,Delivered,52,0,17400
05/06/2022,823f7c47,Cash,Delivered,17,0,1000
05/06/2022,37db3998,Cash,Pickup,,0,1000
05/06/2022,3b165203,Transfer,Pickup,,0,2200
05/06/2022,88cba2f2,Cash,Delivered,35,0,5400
05/06/2022,dea547ec,Transfer,Delivered,34,0,2700
05/06/2022,e2bba8e7,Cash,Delivered,57,0,2700
05/06/2022,4eb2651b,Transfer,Delivered,37,0,13500
05/06/2022,5182508f,Transfer,Pickup,,0,2600
05/06/2022,ad5678e3,Cash,Delivered,26,0,2700
05/06/2022,0ad97e7b,Cash,Delivered,27,0,2450
05/06/2022,8d4b15e4,Transfer,Delivered,38,0,6550
05/06/2022,f3a0442a,Transfer,Pickup,,0,3800
05/06/2022,b6a76bdf,Transfer,Pickup,,0,2450
05/06/2022,7359a9ba,Transfer,Delivered,33,0,4900
05/06/2022,3731c73d,Transfer,Pickup,,0,1100
05/07/2022,ae0d5207,Cash,Delivered,20,0,2450
05/07/2022,9b83b6d8,Transfer,Delivered,70,0,3700
05/07/2022,cf21a553,Cash,Delivered,30,0,1100
05/07/2022,b59b20a5,Cash,Delivered,45,0,2100
05/07/2022,2f1d5f5f,Transfer,Delivered,110,2,20700
05/07/2022,8e52c4a6,Cash,Delivered,67,0,5700
05/07/2022,34b8a751,Cash,Delivered,72,0,2450
05/07/2022,1de0f460,Cash,Delivered,58,0,3600
05/07/2022,ad841a0a,Transfer,Delivered,26,0,2700
05/07/2022,4423833f,Transfer,Pickup,,0,3300
05/07/2022,6dee60e9,Transfer,Pickup,,0,2700
05/07/2022,906c323f,Cash,Delivered,41,0,4150
05/07/2022,a9d74315,Cash,Delivered,60,0,3700
05/07/2022,99f11d70,Transfer,Pickup,,1,1000
05/07/2022,20694f51,Cash,Cancelled,,0,1100
05/07/2022,9a38ec70,Transfer,Delivered,37,0,2600
05/07/2022,c5e184a8,Cash,Delivered,51,0,10900
05/07/2022,5212ca42,Cash,Delivered,75,1,2100
05/07/2022,8e7e9cc0,Transfer,Delivered,77,0,2700
05/07/2022,ec266d34,Transfer,Delivered,61,1,4650
05/07/2022,c547dc99,Transfer,Delivered,42,0,2700
05/07/2022,fe28a8aa,Cash,Delivered,46,0,12700
05/07/2022,79f590a3,Cash,Delivered,55,0,1900
05/07/2022,2f855a5b,Cash,Delivered,44,1,1500
05/07/2022,f943942f,Transfer,Delivered,67,0,3800
05/07/2022,a217aa76,Cash,Delivered,337,1,2450
05/07/2022,84988f57,Transfer,Pickup,,0,1000
05/07/2022,7b95ea32,Transfer,Delivered,127,1,5700
05/07/2022,0f72c7ec,Transfer,Delivered,38,0,4600
05/07/2022,dce6927e,Cash,Delivered,51,0,1900
05/07/2022,44b5ac84,Transfer,Delivered,13,0,2700
05/07/2022,f3e826cf,Cash,Cancelled,,0,2700
05/07/2022,7a0180cb,Transfer,Delivered,37,0,2100
05/07/2022,6c8e0045,Transfer,Delivered,58,0,3000
05/07/2022,25f0c97a,Transfer,Delivered,65,0,3600
05/07/2022,63d044af,Cash,Delivered,37,0,3800
05/07/2022,6dad5ded,Cash,Delivered,89,0,12900
05/07/2022,b20d8d99,Transfer,Pickup,,0,2700
05/07/2022,1909473d,Transfer,Pickup,,0,2700
05/07/2022,3f610541,Transfer,Pickup,,0,2900
05/07/2022,c065ca10,Transfer,Pickup,,0,1100
05/07/2022,7357f9c4,Cash,Delivered,69,0,8700
05/07/2022,077545cf,Cash,Delivered,22,0,2200
05/07/2022,4e9e2d07,Cash,Delivered,48,0,2700
05/07/2022,c98ac6fc,Transfer,Delivered,28,0,2700
05/07/2022,78e8668c,Transfer,Delivered,33,0,5150
05/07/2022,f9f47614,Transfer,Pickup,,0,1900
05/07/2022,6bd906ea,Cash,Delivered,47,0,5150
05/07/2022,c30c4449,Cash,Delivered,7,0,2700
05/07/2022,cd12a517,Transfer,Pickup,,0,2700
05/07/2022,e37c79be,Transfer,Pickup,,0,2600
05/07/2022,2a68f870,Transfer,Pickup,,1,4750
05/07/2022,10ec0901,Transfer,Pickup,,0,1900
05/07/2022,53609152,Transfer,Pickup,,0,1100
05/07/2022,0c20d237,Transfer,Pickup,,0,2600
05/09/2022,ef3227b6,Transfer,Delivered,73,1,23950
05/09/2022,42e42b75,Transfer,Delivered,9,0,4900
05/09/2022,268e8028,Cash,Delivered,237,0,20000
05/09/2022,29d8643c,Transfer,Pickup,,0,2450
05/09/2022,00ac2ec7,Cash,Delivered,40,0,5600
05/09/2022,9a34193f,Transfer,Delivered,41,0,6150
05/09/2022,abf8ba1d,Cash,Delivered,41,0,2200
05/09/2022,4f428559,Transfer,Pickup,,0,2600
05/09/2022,585ae0cd,Cash,Delivered,81,0,1900
05/09/2022,5bd630ae,Cash,Delivered,45,0,3700
05/09/2022,938c0971,Transfer,Delivered,114,1,5350
05/09/2022,facd9f30,Transfer,Pickup,,0,1900
05/09/2022,8beb1d98,Transfer,Pickup,,0,3800
05/09/2022,3d9fe938,Transfer,Pickup,,0,2200
05/09/2022,0b8b559b,Transfer,Pickup,,0,2600
05/09/2022,bae15cdb,Transfer,Pickup,,0,3800
05/09/2022,f865b74e,Cash,Delivered,41,0,2200
05/09/2022,cb0e8bb1,Cash,Delivered,53,0,3800
05/09/2022,47bc4ff7,Transfer,Delivered,200,0,3800
05/09/2022,0dee6e6b,Cash,Delivered,60,0,2700
05/09/2022,762a6607,Transfer,Delivered,43,0,3800
05/09/2022,b4c27aaa,Transfer,Delivered,46,0,8000
05/09/2022,1bcd307b,Transfer,Delivered,60,0,3700
05/09/2022,5f85d724,Transfer,Delivered,54,0,5300
05/09/2022,40a4ccf0,Transfer,Pickup,,0,5600
05/09/2022,9beb0af4,Transfer,Pickup,,0,5700
05/10/2022,d1058256,Transfer,Delivered,284,0,10800
05/10/2022,45d9cffb,Transfer,Cancelled,,0,6200
05/10/2022,68ed8de2,Transfer,Delivered,100,0,21400
05/10/2022,1124ec8e,Transfer,Delivered,116,0,3800
05/10/2022,8f93ffed,Transfer,Pickup,,0,2700
05/10/2022,6d4a361c,Transfer,Pickup,,0,1900
05/10/2022,1ec96edf,Transfer,Delivered,33,0,17800
05/10/2022,2c8d229d,Cash,Delivered,102,0,2700
05/10/2022,ac0b7ff0,Transfer,Delivered,22,0,2700
05/10/2022,f1de8c7a,Cash,Delivered,18,0,2200
05/10/2022,57b88e60,Transfer,Delivered,84,0,2700
05/10/2022,5b0a8c7c,Cash,Delivered,62,0,5050
05/10/2022,e9e0f167,Transfer,Pickup,,0,2600
05/10/2022,40cf8c82,Transfer,Delivered,14,0,2200
05/10/2022,e007a74e,Cash,Delivered,48,0,2700
